name,place_id,types,vicinity,business_status,photos,rating,user_ratings_total,permanently_closed,price_level,google_maps_url
Chef Restaurant Supplies,ChIJhRmbCYVZwokRCmcMl-V204A,"['store', 'point_of_interest', 'establishment']","294-298, Bowery",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103744409368381963207"">Elliot _</a>'], 'photo_reference': 'Aaw_FcIEbdkeqJi1mcs8S3eB1cN6O3j8J1KYEowSbPcjhO-ZIDD95L0wYRwD3-NHlC0oEfJdFTUWcDM0bZUxueHQFFjnfIH353xurJj124DBMzjhyoyJuV6BwJTuZcImIg7qPmaBHlgHwAV-8fWFKu6MWNHTYiwo3bxyGuK98nqtqD7lE5SJ', 'width': 3024}]",4.3,118.0,,,https://www.google.com/maps/place/?q=place_id:ChIJhRmbCYVZwokRCmcMl-V204A
Ideal Restaurant Supply,ChIJ0bs01IiHwokRDUkJ2U_hmuI,"['store', 'point_of_interest', 'establishment']","294 Bowery Suite # 1, New York",OPERATIONAL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117620387423329240927"">Ideal Restaurant Supply</a>'], 'photo_reference': 'Aaw_FcKKnZ4aOuPbLwQ0mCfFMDKsGzjAHg8Jq8VYIqMP8UtqSX0gtN4mR3cvq4SOBjXycuxiwMgMKvZOIKzJBorW1Rkr7DOPlNmfi2qgSwr6xQRbCb0aKuH5l1baqy3F6mWIUpOF9s9i_JsP6KUu8juXkUjDE2zU3HyoT8FNQnqW7Yd_7ZSN', 'width': 4032}]",4.6,67.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0bs01IiHwokRDUkJ2U_hmuI
Bowery Mural,ChIJl6OtoIVZwokR823INL60ouQ,"['tourist_attraction', 'point_of_interest', 'establishment']","76 East Houston Street, New York",OPERATIONAL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117094086719982624535"">Ana Magalhães</a>'], 'photo_reference': 'Aaw_FcK9WQptzOe7vnrfJhDW8tyg_kRfgPNYQ6c-2XlOFzhnag3GLRuG0yHCFQJnXzTlQNN9GK2AaBuyO9kHd0z83thLBR4onLliCiLATPxlkX68m6UK7sl6pRdmVGRJKGUHhvvdbCxaxE898ncqVCdVsrHy0U3jVo3bcqHAMUxEoYhC5R9I', 'width': 4032}]",4.5,277.0,,,https://www.google.com/maps/place/?q=place_id:ChIJl6OtoIVZwokR823INL60ouQ
IXTA Cocina Mexicana + Mezcal Bar,ChIJF7GCEJpZwokR4z1FzAGgdVE,"['restaurant', 'food', 'point_of_interest', 'establishment']","299 Bowery, New York",OPERATIONAL,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108886853058202290502"">IXTA Cocina Mexicana + Mezcal Bar</a>'], 'photo_reference': 'Aaw_FcKiARCyO9yaled9QYLU0tKINCCcWhapnNNXZOz2W0j3MxftHbsF12hq-w4YFc9C3bLkJhLoVvZ2izyhwnQfv0gt8PV8nDKC3z39k0zVtczC0ndRg2Jf7nq7Li1AvE6j3AwclvHmpxefLYszehrr6w6MdE4FXjNeZypxaE9ly-7EwRLy', 'width': 5472}]",4.4,105.0,,,https://www.google.com/maps/place/?q=place_id:ChIJF7GCEJpZwokR4z1FzAGgdVE
Trek Bicycle Bowery,ChIJ5cwCtSRZwokRg0G-JcUbiro,"['bicycle_store', 'store', 'point_of_interest', 'establishment']","303 Bowery, New York",OPERATIONAL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102563186644704024548"">Trek Bicycle Bowery</a>'], 'photo_reference': 'Aaw_FcJoacY4ZB3IptOhRht6w7M5tIjSxqKIyoq0RMEJAlqnxSxTi0tO4EHsliBUi9j_xkfUy6mBaymbuMO4AAC6BRds5sNMwsl3yud3IYdaZFLbITvyFmPT-6Zup7UU6ayUS0eebefMG2uAr8FSEVscigDPvoAPpgy-kcpL_DfTrZkeorFt', 'width': 4032}]",4.9,156.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ5cwCtSRZwokRg0G-JcUbiro
Whole Foods Market,ChIJQ5yUr4VZwokRbMN-yaOarmc,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'food', 'store', 'point_of_interest', 'health', 'establishment']","95 East Houston Street, New York",OPERATIONAL,"[{'height': 754, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111719219215411994893"">Jax Wx</a>'], 'photo_reference': 'Aaw_FcK_1NzODQGAM0_JzoPIAd0uE52rNtwWCuG0V2MxY5_K5XOGVcKTHOWpput_0HGYVO5zq7LW90a533w_AUTCU-9rQ040W6aZvUd2qYXifdhOfm1wI7i5EHtoW5Hhs1W3Rz_rTT5zlMw0-y71YHN5L-i-1T_FAcQHrLe7xLt_Kma-0ELQ', 'width': 1299}]",4.2,2809.0,,1.0,https://www.google.com/maps/place/?q=place_id:ChIJQ5yUr4VZwokRbMN-yaOarmc
Red Tide Masters Swimming,ChIJ3c1eU6dZwokReG8BgcEtX0c,"['school', 'point_of_interest', 'health', 'establishment']","273 Bowery, New York",OPERATIONAL,"[{'height': 426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110909064043762615438"">Red Tide Masters Swimming</a>'], 'photo_reference': 'Aaw_FcJW6AI1tYIK9Do1Jcsn5yHfYF6awJ1zJJqkZSLk4Ov0jp0UK0XXHdJphPR3RPNnf12GmUHfUz0QRyqZW5ZZlIMHvvSylFtNL31RF3nXI6IFJ43aEoo9WtPgv1TMXr-ApBmNo6kaRSXWgXOdKwvVJY7tLEkWRbjpXCgeG-cAGzkdlsyy', 'width': 640}]",4.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ3c1eU6dZwokReG8BgcEtX0c
Houston Street Center,ChIJ25U0pYVZwokRXizxAAtikoo,"['gym', 'point_of_interest', 'health', 'establishment']","273 Bowery, New York",OPERATIONAL,"[{'height': 306, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109517663041304044847"">University Settlement at the Houston Street Center</a>'], 'photo_reference': 'Aaw_FcJVstDVe4bIxjjHfS0TOrhv9K6iNm9MzGVyoa3gP2GUt77NDmQ3ME9WTHAphrdwIvLnzHkkSnzqXUNV0ClIDmoksZOMl3-Bid99q-4CM4J83Js6dMcBxzfNRyXjQ9-Gx5dtCopV9NWG7-qQP2dqhUpyrO5z_2QSRHGTR-F7oO6GK3yM', 'width': 512}]",4.4,5.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ25U0pYVZwokRXizxAAtikoo
Bowery Home Supplies,ChIJPQCJu4VZwokR7W5RRB6rufI,"['hardware_store', 'locksmith', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","3674, 270 Bowery, New York",OPERATIONAL,,3.7,6.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPQCJu4VZwokR7W5RRB6rufI
Takamichi Hair,ChIJkULNNIVZwokRzndD7SRw5WY,"['hair_care', 'point_of_interest', 'establishment']","263 Bowery, New York",OPERATIONAL,"[{'height': 1414, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110456757087753023776"">Takamichi Hair</a>'], 'photo_reference': 'Aaw_FcLuThJNjqnj36i9Ed6IqbSSc6oTSjFcePpIq7_ss4sLfE8ZgIoPwFhfEyJphVim0wfLpKL9bYtCRGC3ZT2lOdeQolRomv9mcQFF7ULDATSkXfJpoqfKN2f7mv0HNpTWzReB38687Wc-85TbXIZnCQvdHobQwDb3vohWmPl4zd_IQ0ON', 'width': 2048}]",4.7,74.0,,,https://www.google.com/maps/place/?q=place_id:ChIJkULNNIVZwokRzndD7SRw5WY
